timestamp, index, name, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/08/10 16:10:54.591, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:54.595, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:55.598, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:55.599, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:56.602, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:56.603, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:57.605, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:57.607, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:58.609, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:58.610, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:59.613, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:59.614, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:11:00.616, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:11:00.617, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:11:01.620, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:11:01.623, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:11:02.626, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:11:02.629, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:11:03.632, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:11:03.635, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:11:04.638, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:11:04.642, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:11:05.644, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:11:05.649, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
